LGA,LGA NAME,No. earners,Median Age of Earners,Median Income
20110,Alpine,"6,795",49,"32,690"
20260,Ararat,"6,011",46,"35,889"
20570,Ballarat,"50,277",42,"40,244"
20660,Banyule,"68,876",43,"46,039"
20740,Bass Coast,"15,292",48,"33,513"
20830,Baw Baw,"24,163",45,"38,067"
20910,Bayside,"57,346",47,"52,228"
21010,Benalla,"7,542",49,"36,210"
21110,Boroondara,"101,723",45,"51,548"
21180,Brimbank,"91,137",39,"39,888"
21270,Buloke,"3,638",49,"33,875"
21370,Campaspe,"20,066",46,"35,836"
21450,Cardinia,"42,901",41,"42,257"
21610,Casey,"137,365",40,"42,665"
21670,Central Goldfields,"5,599",47,"32,370"
21750,Colac-Otway,"12,051",46,"35,851"
21830,Corangamite,"9,245",47,"35,615"
21890,Darebin,"72,901",38,"43,311"
22110,East Gippsland,"22,458",49,"33,066"
22170,Frankston,"69,959",41,"41,874"
22250,Gannawarra,"5,691",49,"33,116"
22310,Glen Eira,"79,937",42,"46,881"
22410,Glenelg,"10,726",46,"38,840"
22490,Golden Plains,"10,792",44,"40,338"
22620,Greater Bendigo,"55,518",43,"39,450"
22670,Greater Dandenong,"66,075",38,"36,584"
22750,Greater Geelong,"117,325",43,"40,904"
22830,Greater Shepparton,"33,656",43,"37,328"
22910,Hepburn,"7,633",48,"34,239"
22980,Hindmarsh,"3,201",49,"36,620"
23110,Hobsons Bay,"46,388",41,"46,824"
23190,Horsham,"11,386",45,"38,594"
23270,Hume,"83,203",40,"41,564"
23350,Indigo,"8,913",48,"39,051"
23430,Kingston,"83,314",42,"43,945"
23670,Knox,"88,950",43,"43,092"
23810,Latrobe,"36,943",43,"41,461"
23940,Loddon,"3,767",50,"30,081"
24130,Macedon Ranges,"24,592",45,"43,510"
24210,Manningham,"68,380",46,"41,465"
24250,Mansfield,"4,564",49,"31,308"
24330,Maribyrnong,"40,047",36,"44,891"
24410,Maroondah,"60,618",43,"43,485"
24600,Melbourne,"58,003",31,"45,937"
24650,Melton,"58,544",38,"45,000"
24780,Mildura,"27,365",43,"36,695"
24850,Mitchell,"18,627",43,"42,406"
24900,Moira,"14,830",46,"34,222"
24970,Monash,"98,003",43,"40,404"
25060,Moonee Valley,"62,659",41,"48,304"
25150,Moorabool,"15,844",44,"43,641"
25250,Moreland,"80,683",37,"43,557"
25340,Mornington Peninsula,"81,438",47,"38,347"
25430,Mount Alexander,"9,326",49,"35,020"
25490,Moyne,"9,477",46,"36,826"
25620,Murrindindi,"7,267",48,"34,647"
25710,Nillumbik,"37,818",45,"46,925"
25810,Northern Grampians,"6,382",47,"36,617"
25900,Port Phillip,"61,011",36,"55,255"
25990,Pyrenees,"3,374",49,"30,453"
26080,Queenscliffe,"1,939",56,"34,768"
26170,South Gippsland,"15,763",48,"34,952"
26260,Southern Grampians,"9,613",47,"37,447"
26350,Stonnington,"63,021",39,"55,009"
26430,Strathbogie,"5,383",50,"33,889"
26490,Surf Coast,"16,383",45,"39,374"
26610,Swan Hill,"11,463",43,"36,386"
26670,Towong,"3,423",50,"36,272"
26700,Wangaratta,"15,672",46,"36,462"
26730,Warrnambool,"18,454",43,"39,554"
26810,Wellington,"22,048",46,"38,222"
26890,West Wimmera,"2,406",49,"35,345"
26980,Whitehorse,"87,773",43,"41,926"
27070,Whittlesea,"85,106",38,"42,263"
27170,Wodonga,"20,083",41,"41,912"
27260,Wyndham,"92,449",37,"45,856"
27350,Yarra,"47,913",35,"52,812"
27450,Yarra Ranges,"84,092",44,"41,213"
27630,Yarriambiack,"3,835",50,"36,937"
